split,scope,scope_value,model,n,mae,rmse,bias,spearman
confirmation,position,RB,POISSON_MINIMAL,452,4.739529279393966,5.497607237724535,0.34239514922753844,0.40438735243982854
confirmation,position,WR,POISSON_MINIMAL,683,4.888124441674923,5.667893412695584,0.1518136838138138,0.3531458934797971
confirmation,position,TE,POISSON_MINIMAL,380,4.7048404938071124,5.45087547372296,-0.23804225630418838,0.4084932383951654
confirmation,season,2022,POISSON_MINIMAL,475,4.352570875260621,5.213410158855935,0.27451080352297874,0.3515704649850587
confirmation,season,2023,POISSON_MINIMAL,446,4.735435159401332,5.528879306941875,0.19472405756412223,0.3330421885592816
confirmation,season,2024,POISSON_MINIMAL,421,4.847771534837233,5.644538036501077,-0.40583314549112043,0.4361236315204339
confirmation,season,2025,POISSON_MINIMAL,431,4.607840722778044,5.390355400465753,0.29349313427993734,0.31063662337593995
confirmation,pooled,ALL,RIDGE_FULL,1773,4.4794897026050124,5.3656012263191775,-0.027552738845787787,0.3776812168351691
confirmation,position,QB,RIDGE_FULL,258,3.553947656521727,4.567015765802458,0.05917062560079045,0.3390408025395524
confirmation,position,RB,RIDGE_FULL,452,4.537699729406981,5.405705608060143,0.1363764927870233,0.4050483192350783
